cultivar	orthogroup	gene_count	gene_ids	reference_present
BSM	OG0039231	2	NC_089041.1.g25749, NC_089041.1.g25755	0
BSM	OG0039281	2	NC_089042.1.g28730, NC_089042.1.g28731	0
BSM	OG0039322	2	NC_089044.1.g32127, NC_089044.1.g32129	0
CI	OG0000265	30	NC_089035.1.g2576, NC_089035.1.g2977, NC_089035.1.g3135, NC_089035.1.g65, NC_089036.1.g5964, NC_089036.1.g8141, NC_089036.1.g8777, NC_089037.1.g13591, NC_089037.1.g9831, NC_089038.1.g14020, NC_089038.1.g14446, NC_089038.1.g14476, NC_089038.1.g15498, NC_089038.1.g16182, NC_089038.1.g16488, NC_089038.1.g16655, NC_089039.1.g18471, NC_089039.1.g18890, NC_089039.1.g19475, NC_089039.1.g19839, NC_089039.1.g19926, NC_089040.1.g20631, NC_089040.1.g22540, NC_089041.1.g24581, NC_089042.1.g27490, NC_089042.1.g29603, NC_089043.1.g31967, NC_089044.1.g32676, NC_089046.1.g38809, NC_089046.1.g38885	0
CI	OG0000266	30	NC_089035.1.g3136, NC_089036.1.g5965, NC_089037.1.g13592, NC_089037.1.g9832, NC_089037.1.g9895, NC_089038.1.g14445, NC_089038.1.g14477, NC_089038.1.g15500, NC_089038.1.g16183, NC_089038.1.g16184, NC_089038.1.g16485, NC_089038.1.g16486, NC_089038.1.g16654, NC_089039.1.g18891, NC_089039.1.g19032, NC_089039.1.g19476, NC_089039.1.g19762, NC_089039.1.g19836, NC_089039.1.g19837, NC_089039.1.g19927, NC_089040.1.g20632, NC_089040.1.g22541, NC_089041.1.g24582, NC_089042.1.g27491, NC_089042.1.g28323, NC_089042.1.g29604, NC_089043.1.g30088, NC_089043.1.g30985, NC_089043.1.g31968, NC_089044.1.g32675	0
CI	OG0000509	24	NC_089041.1.g25891, NC_089041.1.g25892, NC_089041.1.g26668, NC_089041.1.g26670, NC_089041.1.g26671, NC_089041.1.g26674, NC_089041.1.g26680, NC_089041.1.g26686, NC_089041.1.g26687, NC_089041.1.g26688, NC_089041.1.g26689, NC_089041.1.g26691, NC_089041.1.g26694, NC_089041.1.g26695, NC_089041.1.g26696, NC_089041.1.g26699, NC_089041.1.g26702, NC_089041.1.g26707, NC_089041.1.g26708, NC_089041.1.g26709, NC_089041.1.g26712, NC_089041.1.g26713, NC_089041.1.g26714, NC_089041.1.g26716	0
CI	OG0002098	16	NC_089036.1.g5567, NC_089036.1.g5967, NC_089036.1.g8142, NC_089037.1.g12089, NC_089037.1.g9894, NC_089038.1.g14444, NC_089038.1.g16484, NC_089038.1.g16653, NC_089039.1.g17915, NC_089039.1.g19761, NC_089039.1.g19833, NC_089040.1.g22542, NC_089041.1.g24585, NC_089042.1.g28322, NC_089043.1.g30087, NC_089043.1.g30983	0
CI	OG0003349	10	NC_089035.1.g3613, NC_089035.1.g4321, NC_089037.1.g13845, NC_089039.1.g17506, NC_089039.1.g18534, NC_089039.1.g19992, NC_089039.1.g20341, NC_089040.1.g22708, NC_089042.1.g29489, NC_089043.1.g30175	0
CI	OG0023058	7	NC_089036.1.g6775, NC_089037.1.g13092, NC_089038.1.g14413, NC_089041.1.g24961, NC_089041.1.g24962, NC_089042.1.g29823, NC_089046.1.g38323	1
CI	OG0028224	8	NC_089042.1.g29701, NC_089042.1.g29703, NC_089042.1.g29704, NC_089042.1.g29707, NC_089042.1.g29708, NC_089042.1.g29710, NC_089042.1.g29711, NC_089042.1.g29715	0
CI	OG0030761	1	NC_089040.1.g22025	1
CI	OG0033942	5	NC_089039.1.g17549, NC_089039.1.g20035, NC_089045.1.g36419, NC_089045.1.g36613, NC_089045.1.g36860	0
CI	OG0035587	4	NC_089035.1.g2225, NC_089039.1.g17984, NC_089045.1.g36605, NC_089046.1.g39041	0
CI	OG0036082	1	NC_089040.1.g21847	1
CI	OG0036180	2	NC_089037.1.g11462, NC_089037.1.g11463	1
CI	OG0036317	2	NC_089036.1.g7633, NC_089038.1.g16142	1
CI	OG0037720	3	NC_089040.1.g22256, NC_089040.1.g22257, NC_089042.1.g29546	0
CI	OG0038293	1	NC_089035.1.g718	1
CI	OG0038303	1	NC_089035.1.g1301	1
CI	OG0038308	1	NC_089035.1.g1615	1
CI	OG0038309	1	NC_089035.1.g1636	1
CI	OG0038311	1	NC_089035.1.g1671	1
CI	OG0038315	1	NC_089035.1.g1742	1
CI	OG0038322	1	NC_089035.1.g2253	1
CI	OG0038325	1	NC_089035.1.g2355	1
CI	OG0038352	1	NC_089035.1.g3665	1
CI	OG0038382	1	NC_089036.1.g6826	1
CI	OG0038392	1	NC_089036.1.g7137	1
CI	OG0038453	1	NC_089037.1.g11602	1
CI	OG0038456	1	NC_089037.1.g11806	1
CI	OG0038459	1	NC_089037.1.g11876	1
CI	OG0038461	1	NC_089037.1.g12029	1
CI	OG0038476	1	NC_089043.1.g30047	1
CI	OG0038482	1	NC_089037.1.g13769	1
CI	OG0038494	1	NC_089038.1.g14316	1
CI	OG0038510	1	NC_089038.1.g15005	1
CI	OG0038525	1	NC_089038.1.g16547	1
CI	OG0038535	1	NC_089039.1.g17955	1
CI	OG0038539	1	NC_089039.1.g18066	1
CI	OG0038553	1	NC_089039.1.g18644	1
CI	OG0038585	1	NC_089040.1.g20652	1
CI	OG0038593	1	NC_089040.1.g21444	1
CI	OG0038601	1	NC_089040.1.g21837	1
CI	OG0038625	1	NC_089040.1.g22483	1
CI	OG0038632	1	NC_089040.1.g22849	1
CI	OG0038643	1	NC_089040.1.g23803	1
CI	OG0038647	1	NC_089041.1.g24007	1
CI	OG0038653	1	NC_089041.1.g24355	1
CI	OG0038668	1	NC_089041.1.g25114	1
CI	OG0038689	1	NC_089041.1.g26002	1
CI	OG0038704	1	NC_089042.1.g27238	1
CI	OG0038723	1	NC_089042.1.g28244	1
CI	OG0038738	1	NC_089042.1.g28804	1
CI	OG0038742	1	NC_089038.1.g16251	1
CI	OG0038791	1	NC_089044.1.g32086	1
CI	OG0038796	1	NC_089044.1.g32200	1
CI	OG0038801	1	NC_089044.1.g32289	1
CI	OG0038838	1	NC_089045.1.g34904	1
CI	OG0038852	1	NC_089045.1.g35764	1
CI	OG0038876	1	NC_089046.1.g37351	1
CI	OG0038887	1	NC_089046.1.g37745	1
CI	OG0038894	1	NC_089046.1.g37977	1
CI	OG0038913	1	NC_089046.1.g38382	1
CI	OG0038925	1	NC_089046.1.g39146	1
CI	OG0039440	2	NC_089035.1.g409, NC_089038.1.g16043	0
CI	OG0039544	2	NC_089037.1.g11803, NC_089044.1.g32476	0
CI	OG0039613	2	NC_089039.1.g18786, NC_089046.1.g38292	0
CI	OG0039764	2	NC_089045.1.g34747, NC_089046.1.g38851	0
GJ	OG0000311	27	NC_089035.1.g1725, NC_089035.1.g2557, NC_089035.1.g4955, NC_089035.1.g63, NC_089036.1.g5899, NC_089037.1.g12052, NC_089037.1.g12428, NC_089037.1.g12482, NC_089037.1.g13010, NC_089037.1.g13858, NC_089038.1.g13956, NC_089038.1.g14380, NC_089038.1.g14408, NC_089038.1.g14567, NC_089038.1.g15775, NC_089038.1.g16958, NC_089039.1.g19348, NC_089039.1.g19458, NC_089039.1.g19827, NC_089039.1.g19883, NC_089040.1.g20551, NC_089040.1.g22376, NC_089040.1.g22970, NC_089041.1.g26572, NC_089042.1.g27882, NC_089045.1.g34945, NC_089046.1.g38511	0
GJ	OG0000529	22	NC_089035.1.g1723, NC_089035.1.g4953, NC_089036.1.g6845, NC_089036.1.g8100, NC_089037.1.g13344, NC_089038.1.g14281, NC_089038.1.g14378, NC_089038.1.g16351, NC_089038.1.g16955, NC_089039.1.g17859, NC_089039.1.g17989, NC_089039.1.g18493, NC_089039.1.g19181, NC_089039.1.g19825, NC_089040.1.g22378, NC_089041.1.g23763, NC_089041.1.g26071, NC_089042.1.g28028, NC_089042.1.g28514, NC_089044.1.g33503, NC_089045.1.g34947, NC_089045.1.g35054	1
GJ	OG0003120	5	NC_089037.1.g10963, NC_089037.1.g10964, NC_089037.1.g10965, NC_089037.1.g10966, NC_089037.1.g10968	1
GJ	OG0032808	3	NC_089037.1.g11548, NC_089042.1.g28653, NC_089046.1.g38502	1
GJ	OG0034035	5	NC_089035.1.g2009, NC_089037.1.g12692, NC_089037.1.g12693, NC_089040.1.g22000, NC_089041.1.g26512	0
GJ	OG0034036	5	NC_089035.1.g2199, NC_089038.1.g15368, NC_089038.1.g16489, NC_089041.1.g24601, NC_089046.1.g38901	0
GJ	OG0034200	1	NC_089045.1.g35324	1
GJ	OG0034261	1	NC_089037.1.g10548	1
GJ	OG0035832	4	NC_089035.1.g650, NC_089037.1.g11475, NC_089039.1.g20191, NC_089040.1.g21210	0
GJ	OG0035836	4	NC_089035.1.g2135, NC_089040.1.g22976, NC_089044.1.g32474, NC_089044.1.g32527	0
GJ	OG0035970	2	NC_089035.1.g1538, NC_089038.1.g15305	1
GJ	OG0036118	1	NC_089040.1.g23354	1
GJ	OG0036202	1	NC_089037.1.g12135	1
GJ	OG0036274	2	NC_089038.1.g14639, NC_089040.1.g22981	1
GJ	OG0036338	2	NC_089038.1.g14095, NC_089039.1.g17397	1
GJ	OG0036379	1	NC_089039.1.g18978	1
GJ	OG0036796	2	NC_089035.1.g3230, NC_089045.1.g34684	1
GJ	OG0037941	3	NC_089035.1.g3168, NC_089036.1.g8645, NC_089042.1.g27595	0
GJ	OG0038287	1	NC_089035.1.g170	1
GJ	OG0038289	1	NC_089035.1.g271	1
GJ	OG0038290	1	NC_089035.1.g275	1
GJ	OG0038304	1	NC_089035.1.g1356	1
GJ	OG0038305	1	NC_089035.1.g1418	1
GJ	OG0038316	1	NC_089035.1.g1971	1
GJ	OG0038331	1	NC_089035.1.g2621	1
GJ	OG0038334	1	NC_089035.1.g2753	1
GJ	OG0038348	1	NC_089035.1.g3355	1
GJ	OG0038355	1	NC_089035.1.g4054	1
GJ	OG0038357	1	NC_089035.1.g4101	1
GJ	OG0038360	1	NC_089035.1.g4333	1
GJ	OG0038365	1	NC_089035.1.g4939	1
GJ	OG0038377	1	NC_089036.1.g6234	1
GJ	OG0038378	1	NC_089036.1.g6255	1
GJ	OG0038380	1	NC_089036.1.g6726	1
GJ	OG0038391	1	NC_089036.1.g7054	1
GJ	OG0038393	1	NC_089036.1.g7104	1
GJ	OG0038397	1	NC_089036.1.g7230	1
GJ	OG0038399	1	NC_089036.1.g7451	1
GJ	OG0038401	1	NC_089036.1.g7547	1
GJ	OG0038408	1	NC_089036.1.g8662	1
GJ	OG0038409	1	NC_089036.1.g8716	1
GJ	OG0038412	1	NC_089036.1.g8933	1
GJ	OG0038419	1	NC_089037.1.g9437	1
GJ	OG0038421	1	NC_089037.1.g9822	1
GJ	OG0038427	1	NC_089037.1.g10147	1
GJ	OG0038431	1	NC_089037.1.g10351	1
GJ	OG0038440	1	NC_089037.1.g10884	1
GJ	OG0038445	1	NC_089037.1.g11052	1
GJ	OG0038455	1	NC_089037.1.g11638	1
GJ	OG0038457	1	NC_089037.1.g11772	1
GJ	OG0038458	1	NC_089037.1.g11812	1
GJ	OG0038468	1	NC_089037.1.g12300	1
GJ	OG0038470	1	NC_089037.1.g12472	1
GJ	OG0038471	1	NC_089037.1.g12505	1
GJ	OG0038472	1	NC_089037.1.g12626	1
GJ	OG0038481	1	NC_089037.1.g13595	1
GJ	OG0038483	1	NC_089038.1.g13928	1
GJ	OG0038484	1	NC_089038.1.g14023	1
GJ	OG0038486	1	NC_089038.1.g14074	1
GJ	OG0038487	1	NC_089038.1.g14083	1
GJ	OG0038488	1	NC_089038.1.g14091	1
GJ	OG0038497	1	NC_089038.1.g14375	1
GJ	OG0038502	1	NC_089038.1.g14520	1
GJ	OG0038511	1	NC_089038.1.g14988	1
GJ	OG0038512	1	NC_089038.1.g15191	1
GJ	OG0038514	1	NC_089038.1.g15232	1
GJ	OG0038534	1	NC_089039.1.g17837	1
GJ	OG0038548	1	NC_089039.1.g18324	1
GJ	OG0038549	1	NC_089039.1.g18382	1
GJ	OG0038557	1	NC_089039.1.g18654	1
GJ	OG0038558	1	NC_089039.1.g18674	1
GJ	OG0038561	1	NC_089039.1.g18695	1
GJ	OG0038563	1	NC_089039.1.g18769	1
GJ	OG0038567	1	NC_089039.1.g19097	1
GJ	OG0038569	1	NC_089039.1.g19245	1
GJ	OG0038574	1	NC_089039.1.g19418	1
GJ	OG0038582	1	NC_089039.1.g20354	1
GJ	OG0038587	1	NC_089040.1.g20678	1
GJ	OG0038592	1	NC_089040.1.g21232	1
GJ	OG0038598	1	NC_089040.1.g21629	1
GJ	OG0038604	1	NC_089040.1.g21905	1
GJ	OG0038607	1	NC_089040.1.g22023	1
GJ	OG0038608	1	NC_089040.1.g22068	1
GJ	OG0038610	1	NC_089040.1.g22107	1
GJ	OG0038611	1	NC_089040.1.g22110	1
GJ	OG0038621	1	NC_089040.1.g22263	1
GJ	OG0038623	1	NC_089040.1.g22280	1
GJ	OG0038634	1	NC_089040.1.g22758	1
GJ	OG0038635	1	NC_089040.1.g22770	1
GJ	OG0038639	1	NC_089040.1.g23094	1
GJ	OG0038641	1	NC_089040.1.g23161	1
GJ	OG0038645	1	NC_089041.1.g23725	1
GJ	OG0038646	1	NC_089035.1.g908	1
GJ	OG0038649	1	NC_089041.1.g24027	1
GJ	OG0038651	1	NC_089041.1.g24039	1
GJ	OG0038657	1	NC_089041.1.g24334	1
GJ	OG0038659	1	NC_089041.1.g24554	1
GJ	OG0038661	1	NC_089041.1.g24672	1
GJ	OG0038671	1	NC_089041.1.g25052	1
GJ	OG0038672	1	NC_089041.1.g25061	1
GJ	OG0038681	1	NC_089041.1.g25393	1
GJ	OG0038693	1	NC_089041.1.g26144	1
GJ	OG0038698	1	NC_089041.1.g26634	1
GJ	OG0038699	1	NC_089036.1.g8932	1
GJ	OG0038705	1	NC_089042.1.g27070	1
GJ	OG0038706	1	NC_089042.1.g27159	1
GJ	OG0038715	1	NC_089042.1.g27742	1
GJ	OG0038729	1	NC_089042.1.g28203	1
GJ	OG0038730	1	NC_089042.1.g28242	1
GJ	OG0038732	1	NC_089042.1.g28259	1
GJ	OG0038733	1	NC_089040.1.g21678	1
GJ	OG0038740	1	NC_089042.1.g28659	1
GJ	OG0038743	1	NC_089042.1.g28777	1
GJ	OG0038746	1	NC_089043.1.g29601	1
GJ	OG0038749	1	NC_089043.1.g29623	1
GJ	OG0038751	1	NC_089043.1.g29659	1
GJ	OG0038754	1	NC_089043.1.g29882	1
GJ	OG0038755	1	NC_089043.1.g29901	1
GJ	OG0038756	1	NC_089043.1.g29902	1
GJ	OG0038767	1	NC_089043.1.g30234	1
GJ	OG0038775	1	NC_089043.1.g30685	1
GJ	OG0038778	1	NC_089043.1.g30743	1
GJ	OG0038785	1	NC_089043.1.g31151	1
GJ	OG0038799	1	NC_089044.1.g32012	1
GJ	OG0038829	1	NC_089044.1.g33960	1
GJ	OG0038831	1	NC_089045.1.g34040	1
GJ	OG0038832	1	NC_089045.1.g34081	1
GJ	OG0038834	1	NC_089045.1.g34424	1
GJ	OG0038839	1	NC_089045.1.g34757	1
GJ	OG0038843	1	NC_089045.1.g35207	1
GJ	OG0038846	1	NC_089045.1.g35348	1
GJ	OG0038853	1	NC_089045.1.g35552	1
GJ	OG0038865	1	NC_089045.1.g36237	1
GJ	OG0038866	1	NC_089045.1.g36388	1
GJ	OG0038872	1	NC_089045.1.g36694	1
GJ	OG0038874	1	NC_089046.1.g36848	1
GJ	OG0038877	1	NC_089046.1.g37142	1
GJ	OG0038878	1	NC_089046.1.g37250	1
GJ	OG0038888	1	NC_089046.1.g37486	1
GJ	OG0038889	1	NC_089046.1.g37590	1
GJ	OG0038890	1	NC_089046.1.g37591	1
GJ	OG0038895	1	NC_089046.1.g37723	1
GJ	OG0038896	1	NC_089046.1.g37733	1
GJ	OG0038898	1	NC_089046.1.g37747	1
GJ	OG0038904	1	NC_089046.1.g37952	1
GJ	OG0038905	1	NC_089046.1.g37973	1
GJ	OG0038914	1	NC_089046.1.g38105	1
GJ	OG0038915	1	NC_089046.1.g38111	1
GJ	OG0038921	1	NC_089046.1.g38544	1
GJ	OG0038922	1	NC_089046.1.g38568	1
GJ	OG0038926	1	NC_089046.1.g38986	1
GJ	OG0039879	2	NC_089036.1.g5957, NC_089045.1.g36534	0
GJ	OG0039891	2	NC_089036.1.g6816, NC_089039.1.g18721	0
GJ	OG0039948	2	NC_089037.1.g13633, NC_089042.1.g28475	0
GJ	OG0039952	2	NC_089038.1.g14215, NC_089038.1.g14218	0
GJ	OG0039972	2	NC_089038.1.g15053, NC_089044.1.g33023	0
GJ	OG0039994	2	NC_089039.1.g17509, NC_089046.1.g38465	0
GJ	OG0039998	2	NC_089039.1.g17862, NC_089040.1.g21207	0
GJ	OG0040022	2	NC_089039.1.g19413, NC_089045.1.g34122	0
GJ	OG0040067	2	NC_089041.1.g24829, NC_089046.1.g37728	0
GJ	OG0040107	2	NC_089042.1.g27772, NC_089042.1.g27775	0
GJ	OG0040129	2	NC_089043.1.g29538, NC_089043.1.g29541	0
IN	OG0000178	33	NC_089035.1.g1828, NC_089035.1.g1870, NC_089035.1.g2566, NC_089035.1.g2974, NC_089035.1.g3130, NC_089035.1.g3316, NC_089035.1.g5015, NC_089035.1.g61, NC_089036.1.g6607, NC_089036.1.g7784, NC_089036.1.g8326, NC_089037.1.g12188, NC_089037.1.g12391, NC_089037.1.g13586, NC_089037.1.g9839, NC_089038.1.g14009, NC_089038.1.g14447, NC_089038.1.g14480, NC_089038.1.g16306, NC_089038.1.g17143, NC_089039.1.g19574, NC_089039.1.g20012, NC_089040.1.g20694, NC_089040.1.g22481, NC_089040.1.g22968, NC_089040.1.g23059, NC_089041.1.g26880, NC_089042.1.g27589, NC_089042.1.g28218, NC_089043.1.g31378, NC_089043.1.g32118, NC_089044.1.g33974, NC_089046.1.g39210	0
IN	OG0000276	29	NC_089035.1.g1826, NC_089035.1.g1872, NC_089035.1.g1873, NC_089035.1.g3131, NC_089035.1.g5014, NC_089036.1.g7785, NC_089036.1.g9212, NC_089037.1.g12185, NC_089037.1.g12392, NC_089037.1.g13587, NC_089037.1.g9840, NC_089037.1.g9908, NC_089038.1.g14119, NC_089038.1.g14446, NC_089038.1.g14482, NC_089038.1.g16307, NC_089038.1.g16497, NC_089038.1.g17145, NC_089039.1.g17716, NC_089039.1.g19315, NC_089040.1.g20695, NC_089040.1.g22478, NC_089040.1.g22969, NC_089040.1.g23061, NC_089042.1.g28219, NC_089043.1.g30194, NC_089043.1.g31379, NC_089043.1.g32119, NC_089046.1.g39209	0
IN	OG0030471	7	NC_089035.1.g1378, NC_089035.1.g922, NC_089040.1.g21907, NC_089040.1.g21958, NC_089041.1.g25902, NC_089042.1.g28799, NC_089044.1.g34008	0
IN	OG0034084	1	NC_089045.1.g36060	1
IN	OG0035909	4	NC_089035.1.g1571, NC_089035.1.g840, NC_089037.1.g10695, NC_089038.1.g14374	0
IN	OG0035992	1	NC_089038.1.g15151	1
IN	OG0036273	1	NC_089041.1.g25821	1
IN	OG0036427	2	NC_089040.1.g21555, NC_089046.1.g37881	1
IN	OG0036598	1	NC_089042.1.g28294	1
IN	OG0036739	1	NC_089046.1.g38074	1
IN	OG0036841	2	NC_089042.1.g28909, NC_089045.1.g36055	1
IN	OG0038165	3	NC_089038.1.g14949, NC_089039.1.g17667, NC_089044.1.g33116	0
IN	OG0038166	3	NC_089038.1.g14971, NC_089038.1.g14976, NC_089038.1.g14979	0
IN	OG0038197	3	NC_089042.1.g27947, NC_089045.1.g35278, NC_089046.1.g39445	0
IN	OG0038313	1	NC_089035.1.g1723	1
IN	OG0038335	1	NC_089035.1.g2898	1
IN	OG0038358	1	NC_089035.1.g4311	1
IN	OG0038363	1	NC_089035.1.g4515	1
IN	OG0038369	1	NC_089036.1.g5624	1
IN	OG0038376	1	NC_089036.1.g6281	1
IN	OG0038396	1	NC_089036.1.g7215	1
IN	OG0038402	1	NC_089036.1.g7604	1
IN	OG0038474	1	NC_089037.1.g12939	1
IN	OG0038504	1	NC_089038.1.g14645	1
IN	OG0038505	1	NC_089038.1.g14717	1
IN	OG0038516	1	NC_089038.1.g15566	1
IN	OG0038518	1	NC_089038.1.g15947	1
IN	OG0038527	1	NC_089038.1.g16799	1
IN	OG0038531	1	NC_089039.1.g17843	1
IN	OG0038532	1	NC_089039.1.g17844	1
IN	OG0038578	1	NC_089039.1.g19907	1
IN	OG0038590	1	NC_089040.1.g21208	1
IN	OG0038600	1	NC_089040.1.g21879	1
IN	OG0038605	1	NC_089040.1.g22186	1
IN	OG0038606	1	NC_089040.1.g22193	1
IN	OG0038613	1	NC_089040.1.g22337	1
IN	OG0038617	1	NC_089040.1.g22441	1
IN	OG0038628	1	NC_089040.1.g22676	1
IN	OG0038633	1	NC_089040.1.g23006	1
IN	OG0038637	1	NC_089040.1.g23346	1
IN	OG0038648	1	NC_089041.1.g24220	1
IN	OG0038650	1	NC_089041.1.g24300	1
IN	OG0038655	1	NC_089041.1.g24537	1
IN	OG0038662	1	NC_089041.1.g25057	1
IN	OG0038670	1	NC_089041.1.g25270	1
IN	OG0038700	1	NC_089041.1.g26987	1
IN	OG0038710	1	NC_089037.1.g12333	1
IN	OG0038714	1	NC_089042.1.g28051	1
IN	OG0038720	1	NC_089042.1.g28292	1
IN	OG0038722	1	NC_089042.1.g28330	1
IN	OG0038747	1	NC_089043.1.g29977	1
IN	OG0038748	1	NC_089043.1.g29990	1
IN	OG0038760	1	NC_089043.1.g30395	1
IN	OG0038762	1	NC_089043.1.g30408	1
IN	OG0038763	1	NC_089043.1.g30411	1
IN	OG0038764	1	NC_089043.1.g30423	1
IN	OG0038770	1	NC_089043.1.g30747	1
IN	OG0038777	1	NC_089043.1.g31129	1
IN	OG0038780	1	NC_089043.1.g31253	1
IN	OG0038784	1	NC_089043.1.g31429	1
IN	OG0038789	1	NC_089043.1.g31937	1
IN	OG0038808	1	NC_089044.1.g32805	1
IN	OG0038811	1	NC_089044.1.g33176	1
IN	OG0038830	1	NC_089044.1.g34462	1
IN	OG0038842	1	NC_089045.1.g35502	1
IN	OG0038844	1	NC_089045.1.g35774	1
IN	OG0038854	1	NC_089045.1.g36132	1
IN	OG0038857	1	NC_089045.1.g36159	1
IN	OG0038859	1	NC_089045.1.g36316	1
IN	OG0038873	1	NC_089045.1.g37272	1
IN	OG0038880	1	NC_089046.1.g37885	1
