Orthogroup	AGIS1.0	BSM	CI	GJ	IN	KM	MPE	PP	cultivar_occupancy	reference_present	private_cultivar
OG0000176	NC_089045.1.g34790, NC_089045.1.g34792, NC_089045.1.g34793, NC_089046.1.g37587, NC_089046.1.g37588, NC_089046.1.g37589	NC_089045.1.g34641, NC_089045.1.g34642, NC_089045.1.g34643, NC_089046.1.g37418, NC_089046.1.g37419, NC_089046.1.g37420		NC_089045.1.g34337, NC_089045.1.g34339, NC_089045.1.g34340, NC_089046.1.g37050, NC_089046.1.g37051, NC_089046.1.g37052	NC_089045.1.g34800, NC_089045.1.g34801, NC_089045.1.g34802, NC_089046.1.g37599, NC_089046.1.g37600, NC_089046.1.g37601	NC_089045.1.g35121, NC_089045.1.g35123, NC_089045.1.g35124, NC_089046.1.g37943, NC_089046.1.g37944, NC_089046.1.g37945		NC_089045.1.g34766, NC_089046.1.g37523, NC_089046.1.g37525	5	1	
OG0000242	NC_089040.1.g21087, NC_089042.1.g28646, NC_089045.1.g37046, NC_089045.1.g37047, NC_089045.1.g37064, NC_089045.1.g37065, NC_089045.1.g37068, NC_089045.1.g37073, NC_089046.1.g38842	NC_089040.1.g20939, NC_089042.1.g28477		NC_089040.1.g20911, NC_089042.1.g28244			NC_089040.1.g20976, NC_089042.1.g28444, NC_089045.1.g36791, NC_089045.1.g36792, NC_089045.1.g36808, NC_089045.1.g36809, NC_089045.1.g36812, NC_089045.1.g36817, NC_089046.1.g38562	NC_089040.1.g21004, NC_089042.1.g28568, NC_089045.1.g37003, NC_089045.1.g37005, NC_089045.1.g37019, NC_089045.1.g37020, NC_089045.1.g37023, NC_089045.1.g37028, NC_089046.1.g38786	4	1	
OG0000245		NC_089035.1.g498, NC_089046.1.g37861, NC_089046.1.g37865, NC_089046.1.g37878, NC_089046.1.g37881, NC_089046.1.g37886, NC_089046.1.g37893, NC_089046.1.g37897, NC_089046.1.g37905	NC_089046.1.g37815	NC_089035.1.g499, NC_089046.1.g37485, NC_089046.1.g37489, NC_089046.1.g37501, NC_089046.1.g37503, NC_089046.1.g37512, NC_089046.1.g37519, NC_089046.1.g37522, NC_089046.1.g37530, NC_089046.1.g37534		NC_089035.1.g512, NC_089046.1.g38403, NC_089046.1.g38406, NC_089046.1.g38417, NC_089046.1.g38419, NC_089046.1.g38426, NC_089046.1.g38434, NC_089046.1.g38437, NC_089046.1.g38444, NC_089046.1.g38448	NC_089046.1.g37780		5	0	
OG0000248	NC_089035.1.g1102, NC_089035.1.g1454, NC_089036.1.g6919, NC_089038.1.g14163, NC_089041.1.g25922, NC_089046.1.g38770	NC_089038.1.g14054, NC_089046.1.g38627	NC_089035.1.g1417, NC_089036.1.g6895, NC_089038.1.g14105, NC_089041.1.g25777, NC_089046.1.g38539		NC_089035.1.g1080, NC_089035.1.g1430, NC_089036.1.g6903, NC_089038.1.g14091, NC_089041.1.g25881, NC_089046.1.g38819	NC_089035.1.g1459, NC_089036.1.g6993, NC_089038.1.g14261, NC_089041.1.g26087, NC_089046.1.g39176		NC_089035.1.g1073, NC_089035.1.g1429, NC_089036.1.g6923, NC_089038.1.g14155, NC_089041.1.g25812, NC_089046.1.g38717	5	1	
OG0000255	NC_089036.1.g6480, NC_089036.1.g6482, NC_089036.1.g6483, NC_089036.1.g6486, NC_089036.1.g6487			NC_089036.1.g6414, NC_089036.1.g6416, NC_089036.1.g6417, NC_089036.1.g6420, NC_089036.1.g6421	NC_089036.1.g6463, NC_089036.1.g6465, NC_089036.1.g6466, NC_089036.1.g6469, NC_089036.1.g6470	NC_089036.1.g6557, NC_089036.1.g6559, NC_089036.1.g6560, NC_089036.1.g6563, NC_089036.1.g6564	NC_089036.1.g6430, NC_089036.1.g6432, NC_089036.1.g6433, NC_089036.1.g6436, NC_089036.1.g6437	NC_089036.1.g6482, NC_089036.1.g6484, NC_089036.1.g6485, NC_089036.1.g6488, NC_089036.1.g6489	5	1	
OG0000270	NC_089037.1.g9688, NC_089038.1.g14692, NC_089040.1.g21608, NC_089040.1.g22506, NC_089043.1.g31837		NC_089037.1.g9647, NC_089038.1.g14624, NC_089040.1.g21494, NC_089040.1.g22385, NC_089043.1.g31644	NC_089037.1.g9610, NC_089038.1.g14558, NC_089040.1.g21404, NC_089040.1.g22224, NC_089043.1.g31393	NC_089037.1.g9650, NC_089038.1.g14630, NC_089040.1.g21563, NC_089040.1.g22468, NC_089043.1.g31778		NC_089037.1.g9644, NC_089038.1.g14626, NC_089040.1.g21488, NC_089040.1.g22353, NC_089043.1.g31584	NC_089037.1.g9673, NC_089038.1.g14691, NC_089040.1.g22392, NC_089043.1.g31759	5	1	
OG0000271	NC_089037.1.g12060, NC_089041.1.g25984, NC_089043.1.g31269, NC_089044.1.g32840, NC_089045.1.g35143, NC_089046.1.g38044			NC_089041.1.g25639, NC_089043.1.g30824, NC_089044.1.g32404, NC_089045.1.g34694, NC_089046.1.g37496	NC_089037.1.g12015, NC_089041.1.g25950, NC_089043.1.g31211, NC_089044.1.g32842, NC_089045.1.g35135, NC_089046.1.g38070	NC_089037.1.g12144, NC_089039.1.g19345, NC_089044.1.g33150, NC_089045.1.g35464	NC_089041.1.g25790, NC_089044.1.g32601, NC_089045.1.g34903, NC_089046.1.g37775	NC_089041.1.g25876, NC_089044.1.g32798, NC_089045.1.g35122, NC_089046.1.g37988	5	1	
OG0000273	NC_089045.1.g35140		NC_089045.1.g34910, NC_089045.1.g34911, NC_089045.1.g34915, NC_089045.1.g34920, NC_089045.1.g34921	NC_089045.1.g34689, NC_089045.1.g34690, NC_089045.1.g34692, NC_089045.1.g34696, NC_089045.1.g34700, NC_089045.1.g34701	NC_089045.1.g35129, NC_089045.1.g35130, NC_089045.1.g35133, NC_089045.1.g35137, NC_089045.1.g35142, NC_089045.1.g35143		NC_089045.1.g34899, NC_089045.1.g34900, NC_089045.1.g34902, NC_089045.1.g34905, NC_089045.1.g34910, NC_089045.1.g34911	NC_089045.1.g35118, NC_089045.1.g35119, NC_089045.1.g35124, NC_089045.1.g35129, NC_089045.1.g35130	5	1	
OG0000278	NC_089035.1.g1678, NC_089035.1.g1859, NC_089036.1.g6808, NC_089036.1.g8363, NC_089040.1.g22063		NC_089035.1.g1650, NC_089035.1.g1821, NC_089036.1.g6789, NC_089036.1.g8323, NC_089040.1.g21951	NC_089035.1.g1652, NC_089035.1.g1824, NC_089036.1.g6734, NC_089036.1.g8274, NC_089040.1.g21825	NC_089035.1.g1648, NC_089035.1.g1818, NC_089036.1.g6791, NC_089036.1.g8340, NC_089040.1.g22025	NC_089035.1.g1689, NC_089035.1.g1865, NC_089036.1.g8443, NC_089040.1.g22222		NC_089035.1.g1640, NC_089035.1.g1821, NC_089036.1.g8356, NC_089040.1.g21962	5	1	
OG0000281	NC_089035.1.g4586		NC_089035.1.g3578, NC_089036.1.g5651, NC_089036.1.g8752, NC_089046.1.g38233	NC_089035.1.g3522, NC_089035.1.g4513, NC_089036.1.g5576, NC_089036.1.g8710, NC_089038.1.g14183, NC_089040.1.g23356, NC_089041.1.g24514, NC_089046.1.g37933		NC_089038.1.g15504	NC_089035.1.g3557, NC_089035.1.g4546, NC_089036.1.g5607, NC_089036.1.g8765, NC_089040.1.g23500, NC_089041.1.g24638, NC_089046.1.g38193	NC_089035.1.g3554, NC_089035.1.g4554, NC_089036.1.g5616, NC_089036.1.g8784, NC_089040.1.g23539, NC_089041.1.g24685, NC_089046.1.g38404	5	1	
OG0000289	NC_089039.1.g17781		NC_089038.1.g14345		NC_089035.1.g1824, NC_089035.1.g5013, NC_089036.1.g5559, NC_089036.1.g7138, NC_089037.1.g12029, NC_089037.1.g9907, NC_089038.1.g14349, NC_089038.1.g14445, NC_089038.1.g14878, NC_089038.1.g15818, NC_089038.1.g16495, NC_089038.1.g16784, NC_089039.1.g17715, NC_089039.1.g17945, NC_089039.1.g18614, NC_089039.1.g19313, NC_089040.1.g21928, NC_089040.1.g22477, NC_089040.1.g23462, NC_089042.1.g28876, NC_089042.1.g29059, NC_089043.1.g30193, NC_089043.1.g31008, NC_089045.1.g36224, NC_089045.1.g36517, NC_089046.1.g39208				2	1	
OG0000291	NC_089041.1.g26846	NC_089041.1.g26696		NC_089036.1.g6929, NC_089038.1.g14290, NC_089041.1.g26487, NC_089042.1.g28037			NC_089036.1.g6955, NC_089036.1.g9208, NC_089038.1.g14357, NC_089038.1.g14410, NC_089039.1.g18500, NC_089040.1.g20726, NC_089040.1.g22372, NC_089041.1.g26658, NC_089042.1.g28175, NC_089046.1.g38438	NC_089036.1.g7016, NC_089036.1.g9233, NC_089038.1.g14468, NC_089039.1.g18526, NC_089039.1.g20123, NC_089040.1.g22407, NC_089040.1.g22881, NC_089041.1.g26743, NC_089042.1.g28287, NC_089045.1.g35347, NC_089045.1.g36932, NC_089046.1.g39626	4	1	
OG0000298		NC_089035.1.g65, NC_089035.1.g694, NC_089036.1.g7326, NC_089036.1.g7327, NC_089036.1.g8835, NC_089037.1.g12147, NC_089037.1.g12350, NC_089037.1.g9964, NC_089038.1.g13974, NC_089038.1.g14414, NC_089038.1.g14446, NC_089038.1.g14601, NC_089038.1.g15521, NC_089038.1.g15646, NC_089038.1.g16325, NC_089040.1.g20590, NC_089040.1.g22359, NC_089040.1.g22922, NC_089041.1.g25130, NC_089041.1.g25518, NC_089042.1.g28114, NC_089042.1.g29461, NC_089042.1.g29582, NC_089043.1.g31274, NC_089043.1.g31988, NC_089045.1.g36200	NC_089042.1.g29481		NC_089038.1.g15692				3	0	
OG0000300					NC_089046.1.g39506			NC_089035.1.g4994, NC_089035.1.g65, NC_089036.1.g5964, NC_089036.1.g8811, NC_089037.1.g13633, NC_089037.1.g9865, NC_089038.1.g14070, NC_089038.1.g14511, NC_089038.1.g14541, NC_089038.1.g15868, NC_089038.1.g17021, NC_089038.1.g17154, NC_089039.1.g18382, NC_089040.1.g20649, NC_089040.1.g22980, NC_089041.1.g26585, NC_089041.1.g27048, NC_089042.1.g28826, NC_089042.1.g29156, NC_089042.1.g29540, NC_089042.1.g29660, NC_089043.1.g30391, NC_089043.1.g30941, NC_089043.1.g32160, NC_089045.1.g35582, NC_089046.1.g39106, NC_089046.1.g39396	2	0	
OG0000306	NC_089037.1.g12256, NC_089037.1.g12268, NC_089038.1.g14677, NC_089039.1.g18599, NC_089039.1.g19163, NC_089041.1.g24272, NC_089042.1.g29174, NC_089044.1.g33545, NC_089046.1.g37901, NC_089046.1.g37967	NC_089037.1.g12181, NC_089037.1.g12190, NC_089039.1.g18428, NC_089039.1.g18999, NC_089041.1.g25604, NC_089042.1.g29004, NC_089044.1.g33435, NC_089046.1.g37737	NC_089035.1.g4833, NC_089036.1.g7146, NC_089037.1.g12212, NC_089037.1.g12223, NC_089038.1.g14612, NC_089039.1.g18495, NC_089039.1.g19052, NC_089044.1.g33367, NC_089046.1.g37673						2	1	
OG0000307	NC_089037.1.g12743, NC_089038.1.g15550, NC_089040.1.g23885, NC_089041.1.g24190, NC_089045.1.g35234	NC_089040.1.g23717, NC_089041.1.g24021, NC_089045.1.g35084		NC_089037.1.g12629, NC_089038.1.g15417, NC_089040.1.g23585, NC_089041.1.g23883, NC_089045.1.g34788	NC_089037.1.g12707, NC_089038.1.g15501, NC_089040.1.g23848, NC_089041.1.g24137, NC_089045.1.g35239		NC_089037.1.g12689, NC_089038.1.g15489, NC_089040.1.g23727, NC_089041.1.g24012, NC_089045.1.g35006	NC_089038.1.g15515, NC_089040.1.g23772, NC_089041.1.g24061, NC_089045.1.g35222	5	1	
OG0000310		NC_089041.1.g25702, NC_089041.1.g25708, NC_089041.1.g25712, NC_089041.1.g25715, NC_089041.1.g25720	NC_089041.1.g25714, NC_089041.1.g25720, NC_089041.1.g25721, NC_089041.1.g25723, NC_089041.1.g25726, NC_089041.1.g25730		NC_089041.1.g25816, NC_089041.1.g25824, NC_089041.1.g25825, NC_089041.1.g25826, NC_089041.1.g25828, NC_089041.1.g25831		NC_089041.1.g25662, NC_089041.1.g25669, NC_089041.1.g25673, NC_089041.1.g25676, NC_089041.1.g25680	NC_089041.1.g25750, NC_089041.1.g25757, NC_089041.1.g25761, NC_089041.1.g25764, NC_089041.1.g25769	5	0	
OG0000313	NC_089035.1.g1935, NC_089035.1.g3434, NC_089039.1.g18427, NC_089039.1.g18546, NC_089044.1.g34236, NC_089045.1.g36115, NC_089046.1.g39041, NC_089046.1.g39046, NC_089046.1.g39050					NC_089035.1.g1936, NC_089035.1.g3465, NC_089039.1.g18573, NC_089039.1.g18699, NC_089044.1.g34573, NC_089045.1.g36481, NC_089046.1.g39457, NC_089046.1.g39460, NC_089046.1.g39463	NC_089035.1.g1876, NC_089035.1.g3411, NC_089039.1.g18360, NC_089039.1.g18483, NC_089045.1.g35863, NC_089046.1.g38764, NC_089046.1.g38767, NC_089046.1.g38770		2	1	
OG0000315	NC_089036.1.g5715	NC_089036.1.g5710						NC_089036.1.g5688, NC_089036.1.g5690, NC_089036.1.g5691, NC_089036.1.g5693, NC_089036.1.g5695, NC_089036.1.g5696, NC_089036.1.g5697, NC_089036.1.g5699, NC_089036.1.g5700, NC_089036.1.g5701, NC_089036.1.g5703, NC_089036.1.g5704, NC_089036.1.g5705, NC_089036.1.g5707, NC_089036.1.g5711, NC_089036.1.g5712, NC_089036.1.g5713, NC_089036.1.g5714, NC_089036.1.g5715, NC_089036.1.g5716, NC_089036.1.g5717, NC_089036.1.g5718, NC_089040.1.g23586, NC_089044.1.g32548	2	1	
OG0000325	NC_089043.1.g30382	NC_089042.1.g29074, NC_089042.1.g29196, NC_089042.1.g29386, NC_089043.1.g30235, NC_089046.1.g38090, NC_089046.1.g38091	NC_089042.1.g29087, NC_089042.1.g29213, NC_089042.1.g29406, NC_089043.1.g30223, NC_089046.1.g38015		NC_089042.1.g29182, NC_089042.1.g29304, NC_089042.1.g29494, NC_089043.1.g30325, NC_089046.1.g38279, NC_089046.1.g38280	NC_089042.1.g29426, NC_089042.1.g29556, NC_089042.1.g29750, NC_089043.1.g30630, NC_089046.1.g38624	NC_089042.1.g29143, NC_089042.1.g29331, NC_089046.1.g37980		5	1	
OG0000327	NC_089046.1.g38694, NC_089046.1.g38697, NC_089046.1.g38700, NC_089046.1.g38703		NC_089046.1.g38456, NC_089046.1.g38459, NC_089046.1.g38462, NC_089046.1.g38465	NC_089046.1.g38156, NC_089046.1.g38159, NC_089046.1.g38162, NC_089046.1.g38165		NC_089046.1.g38907, NC_089046.1.g39089, NC_089046.1.g39092, NC_089046.1.g39093, NC_089046.1.g39096, NC_089046.1.g39099	NC_089046.1.g38405, NC_089046.1.g38408, NC_089046.1.g38411, NC_089046.1.g38414	NC_089046.1.g38628, NC_089046.1.g38631, NC_089046.1.g38634, NC_089046.1.g38637	5	1	
OG0000328		NC_089035.1.g1709, NC_089035.1.g2642, NC_089035.1.g2644, NC_089035.1.g2645, NC_089035.1.g2648, NC_089035.1.g2649, NC_089035.1.g588, NC_089036.1.g6098, NC_089042.1.g28526, NC_089043.1.g30450	NC_089035.1.g1694, NC_089035.1.g2645, NC_089035.1.g2648, NC_089035.1.g2651, NC_089036.1.g6113, NC_089040.1.g22729, NC_089042.1.g28546					NC_089035.1.g1684, NC_089035.1.g2617, NC_089035.1.g2618, NC_089035.1.g2619, NC_089035.1.g2622, NC_089036.1.g6112, NC_089040.1.g22729, NC_089042.1.g28608, NC_089043.1.g30534	3	0	
OG0000332	NC_089035.1.g1572, NC_089035.1.g4018, NC_089038.1.g14882, NC_089043.1.g31126, NC_089046.1.g39033			NC_089035.1.g1554, NC_089035.1.g3952, NC_089037.1.g11940, NC_089038.1.g14746, NC_089039.1.g17790, NC_089041.1.g26113, NC_089043.1.g30679, NC_089046.1.g38497	NC_089035.1.g3992, NC_089043.1.g31069	NC_089035.1.g1579, NC_089035.1.g4060, NC_089037.1.g12132, NC_089038.1.g14998, NC_089039.1.g18087, NC_089041.1.g26651, NC_089043.1.g31388, NC_089044.1.g33244, NC_089044.1.g33246, NC_089046.1.g39451			3	1	
OG0000341	NC_089039.1.g18091, NC_089041.1.g25975		NC_089041.1.g25831	NC_089041.1.g25630	NC_089039.1.g17772, NC_089039.1.g17774, NC_089039.1.g18023, NC_089039.1.g18034, NC_089039.1.g18035, NC_089039.1.g18036, NC_089041.1.g25940, NC_089041.1.g25941, NC_089041.1.g25943, NC_089041.1.g25944, NC_089044.1.g34321	NC_089039.1.g17981, NC_089039.1.g17983, NC_089039.1.g18245, NC_089039.1.g18246, NC_089041.1.g26146, NC_089041.1.g26147, NC_089041.1.g26149, NC_089041.1.g26151, NC_089044.1.g34642		NC_089039.1.g17788	5	1	
