Orthogroup	AGIS1.0	BSM	CI	GJ	IN	KM	MPE	PP	cultivar_occupancy	reference_present	private_cultivar
OG0000092	NC_089036.1.g6877, NC_089039.1.g18561, NC_089040.1.g22973, NC_089044.1.g32664		NC_089037.1.g11246, NC_089037.1.g11251, NC_089037.1.g11253, NC_089037.1.g11256, NC_089039.1.g17989, NC_089039.1.g18459, NC_089040.1.g22515, NC_089040.1.g22517, NC_089045.1.g35486	NC_089035.1.g1955, NC_089035.1.g2186, NC_089037.1.g11789, NC_089038.1.g14181, NC_089039.1.g17929, NC_089039.1.g18394, NC_089040.1.g22357, NC_089042.1.g26988, NC_089044.1.g32367, NC_089044.1.g32371, NC_089045.1.g35329, NC_089046.1.g37996	NC_089036.1.g6816, NC_089045.1.g35407, NC_089045.1.g35727, NC_089046.1.g38583	NC_089038.1.g14346, NC_089038.1.g14912	NC_089037.1.g13613, NC_089038.1.g14177, NC_089039.1.g18013, NC_089046.1.g38254	NC_089035.1.g2235, NC_089036.1.g7778, NC_089037.1.g11313, NC_089037.1.g11314, NC_089037.1.g11896, NC_089040.1.g22893, NC_089042.1.g27835, NC_089043.1.g30588, NC_089046.1.g38468	6	1	
OG0000103	NC_089035.1.g1719, NC_089035.1.g786, NC_089036.1.g8194, NC_089037.1.g10466, NC_089037.1.g11482, NC_089037.1.g11708, NC_089037.1.g13779, NC_089040.1.g22932, NC_089040.1.g23499, NC_089042.1.g29103, NC_089044.1.g34044, NC_089046.1.g38541	NC_089035.1.g788, NC_089037.1.g11661, NC_089044.1.g33900	NC_089035.1.g758, NC_089037.1.g11665, NC_089037.1.g9812, NC_089044.1.g33822		NC_089035.1.g1685, NC_089035.1.g763, NC_089037.1.g10446, NC_089037.1.g11677, NC_089037.1.g9750, NC_089038.1.g14639, NC_089038.1.g14766, NC_089038.1.g16536, NC_089040.1.g23458, NC_089041.1.g24819, NC_089044.1.g34062, NC_089045.1.g35940, NC_089046.1.g38578	NC_089035.1.g798, NC_089037.1.g11789, NC_089044.1.g34379	NC_089035.1.g762, NC_089037.1.g11656, NC_089040.1.g23342, NC_089044.1.g33823	NC_089040.1.g22816, NC_089040.1.g23381	6	1	
OG0000105	NC_089035.1.g1396, NC_089038.1.g16875, NC_089043.1.g30969	NC_089035.1.g1844, NC_089035.1.g4857, NC_089037.1.g11360, NC_089038.1.g16103, NC_089038.1.g16726, NC_089039.1.g18894, NC_089039.1.g20477, NC_089040.1.g20914, NC_089040.1.g21943, NC_089043.1.g30210, NC_089043.1.g30551	NC_089035.1.g1489, NC_089037.1.g11306, NC_089037.1.g11365, NC_089039.1.g18800, NC_089039.1.g19638, NC_089040.1.g20964, NC_089041.1.g24968, NC_089043.1.g30798, NC_089045.1.g35628	NC_089036.1.g6815, NC_089038.1.g16719, NC_089041.1.g24808, NC_089044.1.g32177, NC_089045.1.g36185	NC_089035.1.g1899, NC_089037.1.g11571, NC_089039.1.g19698, NC_089041.1.g25077	NC_089041.1.g25286, NC_089042.1.g28598, NC_089043.1.g31232, NC_089043.1.g31448		NC_089036.1.g8616, NC_089036.1.g9049, NC_089037.1.g11364, NC_089040.1.g20978, NC_089041.1.g24987	6	1	
OG0000135	NC_089036.1.g8294, NC_089038.1.g14823, NC_089040.1.g22623, NC_089046.1.g38444	NC_089035.1.g5176, NC_089036.1.g8135, NC_089042.1.g27282, NC_089044.1.g34286, NC_089045.1.g36199, NC_089045.1.g36599, NC_089045.1.g36652, NC_089046.1.g38528, NC_089046.1.g39104	NC_089041.1.g26533, NC_089042.1.g27791	NC_089036.1.g8310, NC_089038.1.g15032, NC_089041.1.g26334, NC_089042.1.g27101	NC_089036.1.g6815, NC_089038.1.g14661, NC_089041.1.g26654, NC_089042.1.g27391, NC_089043.1.g30963, NC_089044.1.g32522, NC_089044.1.g33410, NC_089045.1.g35729, NC_089046.1.g38474	NC_089036.1.g8375, NC_089039.1.g19708, NC_089041.1.g25518, NC_089041.1.g26880, NC_089042.1.g27641, NC_089045.1.g36053, NC_089046.1.g39068, NC_089046.1.g39069		NC_089035.1.g3536, NC_089038.1.g14722, NC_089046.1.g38371	6	1	
OG0000143	NC_089040.1.g23241, NC_089040.1.g23242, NC_089040.1.g23244, NC_089041.1.g26044, NC_089041.1.g26046, NC_089041.1.g26049, NC_089041.1.g26050	NC_089040.1.g23080, NC_089040.1.g23081, NC_089040.1.g23083, NC_089041.1.g25894, NC_089041.1.g25897, NC_089041.1.g25900, NC_089041.1.g25901		NC_089041.1.g25690	NC_089040.1.g23208, NC_089040.1.g23209, NC_089040.1.g23211, NC_089041.1.g26006, NC_089041.1.g26008, NC_089041.1.g26011, NC_089041.1.g26012	NC_089040.1.g23419, NC_089040.1.g23420, NC_089040.1.g23422, NC_089041.1.g26211, NC_089041.1.g26215, NC_089041.1.g26219, NC_089041.1.g26221	NC_089040.1.g23083, NC_089040.1.g23084, NC_089040.1.g23086, NC_089041.1.g25847, NC_089041.1.g25849, NC_089041.1.g25852, NC_089041.1.g25854	NC_089040.1.g23128, NC_089041.1.g25933	6	1	
OG0000159	NC_089037.1.g9792, NC_089037.1.g9793, NC_089038.1.g15410, NC_089045.1.g35539, NC_089046.1.g39617, NC_089046.1.g39626	NC_089037.1.g9758, NC_089038.1.g15304, NC_089045.1.g35403, NC_089046.1.g39488, NC_089046.1.g39497, NC_089046.1.g39498		NC_089037.1.g9712, NC_089045.1.g35096	NC_089037.1.g9758, NC_089038.1.g15361, NC_089045.1.g35565, NC_089046.1.g39673, NC_089046.1.g39682	NC_089037.1.g9876, NC_089037.1.g9877, NC_089038.1.g15530, NC_089045.1.g35891, NC_089046.1.g40033, NC_089046.1.g40042	NC_089037.1.g9752, NC_089038.1.g15354, NC_089045.1.g35313, NC_089046.1.g39338, NC_089046.1.g39347	NC_089037.1.g9782, NC_089038.1.g15379, NC_089045.1.g35544, NC_089046.1.g39563, NC_089046.1.g39573	6	1	
OG0000161	NC_089038.1.g16102, NC_089038.1.g16920, NC_089038.1.g16921, NC_089041.1.g26199, NC_089041.1.g26200	NC_089038.1.g16001, NC_089038.1.g16774, NC_089038.1.g16775, NC_089041.1.g26038, NC_089041.1.g26039	NC_089038.1.g16011, NC_089038.1.g16823, NC_089038.1.g16824, NC_089041.1.g26034, NC_089041.1.g26035		NC_089038.1.g16056, NC_089038.1.g16854, NC_089038.1.g16855, NC_089041.1.g26145, NC_089041.1.g26146	NC_089038.1.g16237, NC_089038.1.g17048, NC_089038.1.g17049, NC_089041.1.g26362, NC_089041.1.g26363	NC_089038.1.g16058, NC_089038.1.g16846, NC_089038.1.g16847, NC_089041.1.g25999, NC_089041.1.g26000	NC_089038.1.g16064, NC_089038.1.g16863, NC_089038.1.g16864, NC_089041.1.g26073, NC_089041.1.g26074	6	1	
OG0000167	NC_089042.1.g29239, NC_089042.1.g29360, NC_089042.1.g29546, NC_089043.1.g30383, NC_089046.1.g38249	NC_089042.1.g29195, NC_089042.1.g29387, NC_089043.1.g30236	NC_089042.1.g29086, NC_089042.1.g29212, NC_089042.1.g29407, NC_089043.1.g30224, NC_089046.1.g38017	NC_089042.1.g28808, NC_089042.1.g28930, NC_089042.1.g29119, NC_089043.1.g29969, NC_089046.1.g37709	NC_089042.1.g29181, NC_089042.1.g29303, NC_089042.1.g29495, NC_089043.1.g30326, NC_089046.1.g38282	NC_089042.1.g29425, NC_089042.1.g29554, NC_089042.1.g29555, NC_089042.1.g29751, NC_089043.1.g30631, NC_089046.1.g38626	NC_089042.1.g29024, NC_089042.1.g29142, NC_089042.1.g29332, NC_089043.1.g30154, NC_089046.1.g37982		6	1	
OG0000170	NC_089036.1.g6492, NC_089036.1.g6493, NC_089036.1.g6495, NC_089036.1.g6498, NC_089036.1.g6500	NC_089036.1.g6467, NC_089036.1.g6468, NC_089036.1.g6469, NC_089036.1.g6471, NC_089036.1.g6473	NC_089036.1.g6482, NC_089036.1.g6483, NC_089036.1.g6484, NC_089036.1.g6486, NC_089036.1.g6488		NC_089036.1.g6476, NC_089036.1.g6479, NC_089036.1.g6481, NC_089036.1.g6484	NC_089036.1.g6572, NC_089036.1.g6573, NC_089036.1.g6576, NC_089036.1.g6578	NC_089036.1.g6442, NC_089036.1.g6444, NC_089036.1.g6447, NC_089036.1.g6451, NC_089036.1.g6453	NC_089036.1.g6494, NC_089036.1.g6496, NC_089036.1.g6497, NC_089036.1.g6500, NC_089036.1.g6501	6	1	
OG0000177	NC_089045.1.g35432, NC_089045.1.g37108, NC_089045.1.g37110, NC_089045.1.g37113, NC_089045.1.g37115, NC_089045.1.g37117, NC_089045.1.g37119, NC_089045.1.g37124, NC_089045.1.g37125	NC_089042.1.g27954, NC_089045.1.g35298, NC_089045.1.g36946, NC_089045.1.g36948	NC_089042.1.g27974, NC_089045.1.g35222, NC_089045.1.g36875, NC_089045.1.g36877, NC_089045.1.g36885	NC_089045.1.g34993		NC_089042.1.g28328, NC_089045.1.g35777, NC_089045.1.g37472, NC_089045.1.g37476	NC_089045.1.g35217, NC_089045.1.g36855, NC_089045.1.g36858, NC_089045.1.g36860, NC_089045.1.g36861, NC_089045.1.g36862, NC_089045.1.g36864, NC_089045.1.g36870, NC_089045.1.g36871	NC_089045.1.g35433	6	1	
OG0000235	NC_089035.1.g1672, NC_089035.1.g2228, NC_089037.1.g11308, NC_089038.1.g14220, NC_089038.1.g14822, NC_089039.1.g18080, NC_089039.1.g18560, NC_089039.1.g18877, NC_089040.1.g22637, NC_089040.1.g22638, NC_089040.1.g22974, NC_089040.1.g23004, NC_089041.1.g25137, NC_089041.1.g25138, NC_089044.1.g34420, NC_089045.1.g35359		NC_089037.1.g11254, NC_089037.1.g11255, NC_089039.1.g17990, NC_089039.1.g18458, NC_089040.1.g22514, NC_089044.1.g32358	NC_089038.1.g15033	NC_089037.1.g11269, NC_089045.1.g35406	NC_089045.1.g36052	NC_089039.1.g18014, NC_089045.1.g36693	NC_089035.1.g2153, NC_089038.1.g15145, NC_089043.1.g30586	6	1	
OG0000240	NC_089037.1.g11913, NC_089038.1.g14721, NC_089040.1.g22617, NC_089043.1.g30637, NC_089043.1.g30922, NC_089044.1.g33443	NC_089037.1.g11849, NC_089038.1.g14621, NC_089039.1.g18502, NC_089043.1.g30496, NC_089043.1.g30573, NC_089043.1.g30787, NC_089046.1.g38059	NC_089037.1.g11873, NC_089038.1.g14114, NC_089038.1.g14141, NC_089038.1.g14652, NC_089039.1.g18564, NC_089040.1.g22078, NC_089040.1.g22306, NC_089043.1.g30479, NC_089043.1.g30756, NC_089044.1.g33267, NC_089046.1.g37981		NC_089037.1.g11874	NC_089037.1.g11999, NC_089038.1.g14212, NC_089041.1.g25191	NC_089037.1.g11844, NC_089043.1.g30678	NC_089043.1.g30577	6	1	
OG0000250	NC_089035.1.g1422, NC_089035.1.g4092, NC_089036.1.g5977, NC_089038.1.g14044, NC_089040.1.g22079, NC_089044.1.g32587, NC_089044.1.g32588	NC_089035.1.g1416, NC_089038.1.g13942, NC_089040.1.g21912, NC_089044.1.g32447	NC_089044.1.g32408		NC_089044.1.g32574	NC_089035.1.g1428, NC_089035.1.g4137, NC_089038.1.g14151, NC_089038.1.g14495, NC_089040.1.g22234, NC_089044.1.g32872, NC_089044.1.g32873	NC_089035.1.g1386, NC_089038.1.g13987, NC_089040.1.g21932, NC_089044.1.g32346	NC_089035.1.g1392, NC_089035.1.g4054, NC_089038.1.g14038, NC_089040.1.g21973, NC_089044.1.g32536, NC_089044.1.g32537	6	1	
OG0000274		NC_089035.1.g1957, NC_089035.1.g4503, NC_089035.1.g4723, NC_089036.1.g5712, NC_089037.1.g11477, NC_089038.1.g16904, NC_089039.1.g18801, NC_089042.1.g27968, NC_089044.1.g32143, NC_089044.1.g32223, NC_089044.1.g33146, NC_089044.1.g34034, NC_089045.1.g36449, NC_089045.1.g36553, NC_089046.1.g37534	NC_089035.1.g4511, NC_089036.1.g5723, NC_089038.1.g14484, NC_089038.1.g16964, NC_089039.1.g18854, NC_089044.1.g33083	NC_089035.1.g3448	NC_089039.1.g18167, NC_089040.1.g20810, NC_089042.1.g28094, NC_089044.1.g33280, NC_089046.1.g37460	NC_089035.1.g3537		NC_089036.1.g5595	6	0	
OG0000279	NC_089035.1.g2045, NC_089037.1.g12805, NC_089037.1.g12806, NC_089041.1.g26869	NC_089035.1.g2018, NC_089037.1.g12729, NC_089037.1.g12730, NC_089041.1.g26721	NC_089035.1.g1998, NC_089037.1.g12767, NC_089037.1.g12768, NC_089041.1.g26725		NC_089035.1.g2012, NC_089037.1.g12768, NC_089037.1.g12769, NC_089041.1.g26818	NC_089035.1.g2057, NC_089037.1.g12894, NC_089037.1.g12895, NC_089041.1.g27065	NC_089035.1.g1992, NC_089037.1.g12752, NC_089037.1.g12753, NC_089041.1.g26683	NC_089035.1.g1998, NC_089037.1.g12813, NC_089037.1.g12814, NC_089041.1.g26765	6	1	
OG0000280	NC_089035.1.g2175, NC_089040.1.g23274, NC_089044.1.g32912, NC_089044.1.g32958	NC_089035.1.g2155, NC_089040.1.g23114, NC_089044.1.g32791, NC_089044.1.g32841	NC_089035.1.g2138, NC_089040.1.g23150, NC_089044.1.g32737, NC_089044.1.g32786		NC_089035.1.g2145, NC_089040.1.g23240, NC_089044.1.g32910, NC_089044.1.g32958	NC_089035.1.g2189, NC_089040.1.g23449, NC_089044.1.g33227, NC_089044.1.g33274	NC_089035.1.g2136, NC_089040.1.g23115, NC_089044.1.g32676, NC_089044.1.g32722	NC_089035.1.g2131, NC_089040.1.g23158, NC_089044.1.g32871, NC_089044.1.g32916	6	1	
