cultivar	orthogroup_label	gene_id
BSM	OG0041377	NC_089039.1.g19346
BSM	OG0041378	NC_089039.1.g19452
BSM	OG0041379	NC_089039.1.g19652
BSM	OG0041380	NC_089039.1.g19700
BSM	OG0041381	NC_089039.1.g19842
BSM	OG0041382	NC_089039.1.g20008
BSM	OG0041383	NC_089039.1.g20476
BSM	OG0041384	NC_089040.1.g20673
BSM	OG0041385	NC_089040.1.g21063
BSM	OG0041386	NC_089040.1.g21088
BSM	OG0041387	NC_089040.1.g21177
BSM	OG0041388	NC_089040.1.g21578
BSM	OG0041389	NC_089040.1.g21695
BSM	OG0041390	NC_089040.1.g21736
BSM	OG0041391	NC_089040.1.g21858
BSM	OG0041392	NC_089040.1.g21900
BSM	OG0041393	NC_089040.1.g21903
BSM	OG0041394	NC_089040.1.g21930
BSM	OG0041395	NC_089040.1.g21979
BSM	OG0041396	NC_089040.1.g21981
BSM	OG0041397	NC_089040.1.g22079
BSM	OG0041398	NC_089040.1.g22138
BSM	OG0041399	NC_089040.1.g22148
BSM	OG0041400	NC_089040.1.g22168
BSM	OG0041401	NC_089040.1.g22200
BSM	OG0041402	NC_089040.1.g22215
BSM	OG0041403	NC_089040.1.g22278
BSM	OG0041404	NC_089040.1.g22317
BSM	OG0041405	NC_089040.1.g22377
BSM	OG0041406	NC_089040.1.g22425
BSM	OG0041407	NC_089040.1.g22430
BSM	OG0041408	NC_089040.1.g22431
BSM	OG0041409	NC_089040.1.g22465
BSM	OG0041410	NC_089040.1.g22490
BSM	OG0041411	NC_089040.1.g22509
BSM	OG0041412	NC_089040.1.g22638
BSM	OG0041413	NC_089040.1.g22693
BSM	OG0041414	NC_089040.1.g22702
BSM	OG0041415	NC_089040.1.g22801
BSM	OG0041416	NC_089040.1.g23011
BSM	OG0041417	NC_089040.1.g23035
BSM	OG0041418	NC_089040.1.g23178
BSM	OG0041419	NC_089040.1.g23196
BSM	OG0041420	NC_089040.1.g23398
BSM	OG0041421	NC_089040.1.g23407
BSM	OG0041422	NC_089041.1.g24121
BSM	OG0041423	NC_089041.1.g24162
BSM	OG0041424	NC_089041.1.g24501
BSM	OG0041425	NC_089041.1.g24625
BSM	OG0041426	NC_089041.1.g24653
BSM	OG0041427	NC_089041.1.g24673
BSM	OG0041428	NC_089041.1.g24693
BSM	OG0041429	NC_089041.1.g24703
BSM	OG0041430	NC_089041.1.g24885
BSM	OG0041431	NC_089041.1.g24947
BSM	OG0041432	NC_089041.1.g24969
BSM	OG0041433	NC_089041.1.g25025
BSM	OG0041434	NC_089041.1.g25065
BSM	OG0041435	NC_089041.1.g25162
BSM	OG0041436	NC_089041.1.g25168
BSM	OG0041437	NC_089041.1.g25221
BSM	OG0041438	NC_089041.1.g25303
BSM	OG0041439	NC_089041.1.g25483
BSM	OG0041440	NC_089041.1.g25515
BSM	OG0041441	NC_089041.1.g25527
BSM	OG0041442	NC_089041.1.g25552
BSM	OG0041443	NC_089041.1.g25618
BSM	OG0041444	NC_089041.1.g25788
BSM	OG0041445	NC_089041.1.g25910
BSM	OG0041446	NC_089041.1.g26024
BSM	OG0041447	NC_089041.1.g26059
BSM	OG0041448	NC_089041.1.g26087
BSM	OG0041449	NC_089041.1.g26218
BSM	OG0041450	NC_089041.1.g26304
BSM	OG0041451	NC_089041.1.g26413
BSM	OG0041452	NC_089042.1.g27162
BSM	OG0041453	NC_089042.1.g27165
BSM	OG0041454	NC_089042.1.g27228
BSM	OG0041455	NC_089042.1.g27445
BSM	OG0041456	NC_089042.1.g27698
BSM	OG0041457	NC_089042.1.g27820
BSM	OG0041458	NC_089042.1.g27927
BSM	OG0041459	NC_089042.1.g28046
BSM	OG0041460	NC_089042.1.g28096
BSM	OG0041461	NC_089042.1.g28125
BSM	OG0041462	NC_089042.1.g28138
BSM	OG0041463	NC_089042.1.g28140
BSM	OG0041464	NC_089042.1.g28141
BSM	OG0041465	NC_089042.1.g28145
BSM	OG0041466	NC_089042.1.g28150
BSM	OG0041467	NC_089042.1.g28181
BSM	OG0041468	NC_089042.1.g28237
BSM	OG0041469	NC_089042.1.g28297
BSM	OG0041470	NC_089042.1.g28307
BSM	OG0041471	NC_089042.1.g28344
BSM	OG0041472	NC_089042.1.g28352
BSM	OG0041473	NC_089042.1.g28390
BSM	OG0041474	NC_089042.1.g28492
BSM	OG0041475	NC_089042.1.g28493
BSM	OG0041476	NC_089042.1.g28577
BSM	OG0041477	NC_089042.1.g28584
BSM	OG0041478	NC_089042.1.g28602
BSM	OG0041479	NC_089042.1.g28603
BSM	OG0041480	NC_089042.1.g28701
BSM	OG0041481	NC_089042.1.g28783
BSM	OG0041482	NC_089042.1.g29575
BSM	OG0041483	NC_089043.1.g29885
BSM	OG0041484	NC_089043.1.g29894
BSM	OG0041485	NC_089043.1.g30035
BSM	OG0041486	NC_089043.1.g30173
BSM	OG0041487	NC_089043.1.g30280
BSM	OG0041488	NC_089043.1.g30295
BSM	OG0041489	NC_089043.1.g30369
BSM	OG0041490	NC_089043.1.g30388
BSM	OG0041491	NC_089043.1.g30418
BSM	OG0041492	NC_089043.1.g30490
BSM	OG0041493	NC_089043.1.g30585
BSM	OG0041494	NC_089043.1.g30602
BSM	OG0041495	NC_089043.1.g30941
BSM	OG0041496	NC_089043.1.g30965
BSM	OG0041497	NC_089043.1.g30997
BSM	OG0041498	NC_089043.1.g31026
BSM	OG0041499	NC_089043.1.g31219
BSM	OG0041500	NC_089043.1.g31816
BSM	OG0041501	NC_089043.1.g31943
BSM	OG0041502	NC_089044.1.g32196
BSM	OG0041503	NC_089044.1.g32209
BSM	OG0041504	NC_089044.1.g32231
BSM	OG0041505	NC_089044.1.g32239
BSM	OG0041506	NC_089044.1.g32334
BSM	OG0041507	NC_089044.1.g32337
BSM	OG0041508	NC_089044.1.g32520
BSM	OG0041509	NC_089044.1.g32538
BSM	OG0041510	NC_089044.1.g32596
BSM	OG0041511	NC_089044.1.g32646
BSM	OG0041512	NC_089044.1.g32663
BSM	OG0041513	NC_089044.1.g32687
BSM	OG0041514	NC_089044.1.g32721
BSM	OG0041515	NC_089044.1.g32814
BSM	OG0041516	NC_089044.1.g32820
BSM	OG0041517	NC_089044.1.g32954
BSM	OG0041518	NC_089044.1.g33016
BSM	OG0041519	NC_089044.1.g33030
BSM	OG0041520	NC_089044.1.g33188
BSM	OG0041521	NC_089044.1.g33205
BSM	OG0041522	NC_089044.1.g33285
BSM	OG0041523	NC_089044.1.g33506
BSM	OG0041524	NC_089044.1.g33542
BSM	OG0041525	NC_089044.1.g33929
BSM	OG0041526	NC_089044.1.g34232
BSM	OG0041527	NC_089045.1.g34411
BSM	OG0041528	NC_089045.1.g34811
BSM	OG0041529	NC_089045.1.g34924
BSM	OG0041530	NC_089045.1.g35021
BSM	OG0041531	NC_089045.1.g35162
BSM	OG0041532	NC_089045.1.g35182
BSM	OG0041533	NC_089045.1.g35185
BSM	OG0041534	NC_089045.1.g35481
BSM	OG0041535	NC_089045.1.g35489
BSM	OG0041536	NC_089045.1.g35500
BSM	OG0041537	NC_089045.1.g35606
BSM	OG0041538	NC_089045.1.g35633
BSM	OG0041539	NC_089045.1.g35689
BSM	OG0041540	NC_089045.1.g35700
BSM	OG0041541	NC_089045.1.g35715
BSM	OG0041542	NC_089045.1.g35736
BSM	OG0041543	NC_089045.1.g35742
BSM	OG0041544	NC_089045.1.g35760
BSM	OG0041545	NC_089045.1.g35857
BSM	OG0041546	NC_089045.1.g35892
BSM	OG0041547	NC_089045.1.g35966
BSM	OG0041548	NC_089045.1.g35975
BSM	OG0041549	NC_089045.1.g35986
BSM	OG0041550	NC_089045.1.g35994
BSM	OG0041551	NC_089045.1.g36281
BSM	OG0041552	NC_089045.1.g36339
BSM	OG0041553	NC_089045.1.g36570
BSM	OG0041554	NC_089045.1.g36640
BSM	OG0041555	NC_089045.1.g36876
BSM	OG0041556	NC_089045.1.g37010
BSM	OG0041557	NC_089046.1.g37152
BSM	OG0041558	NC_089046.1.g37523
BSM	OG0041559	NC_089046.1.g37682
BSM	OG0041560	NC_089046.1.g37932
BSM	OG0041561	NC_089046.1.g37964
BSM	OG0041562	NC_089046.1.g38057
BSM	OG0041563	NC_089046.1.g38133
BSM	OG0041564	NC_089046.1.g38155
BSM	OG0041565	NC_089046.1.g38168
BSM	OG0041566	NC_089046.1.g38214
BSM	OG0041567	NC_089046.1.g38340
BSM	OG0041568	NC_089046.1.g38379
BSM	OG0041569	NC_089046.1.g38591
BSM	OG0041570	NC_089046.1.g38643
BSM	OG0041571	NC_089046.1.g38730
BSM	OG0041572	NC_089046.1.g38932
BSM	OG0041573	NC_089046.1.g38958
BSM	OG0041574	NC_089046.1.g39377
BSM	OG0041575	NC_089046.1.g39465
BSM	OG0041576	NC_089046.1.g39502
CI	OG0041577	NC_089035.1.g98
CI	OG0041578	NC_089035.1.g873
CI	OG0041579	NC_089035.1.g876
CI	OG0041580	NC_089035.1.g956
CI	OG0041581	NC_089035.1.g1110
CI	OG0041582	NC_089035.1.g1287
CI	OG0041583	NC_089035.1.g1354
CI	OG0041584	NC_089035.1.g1605
CI	OG0041585	NC_089035.1.g1879
CI	OG0041586	NC_089035.1.g1919
CI	OG0041587	NC_089035.1.g2074
CI	OG0041588	NC_089035.1.g2076
CI	OG0041589	NC_089035.1.g2095
CI	OG0041590	NC_089035.1.g2099
CI	OG0041591	NC_089035.1.g2103
CI	OG0041592	NC_089035.1.g2293
CI	OG0041593	NC_089035.1.g3075
CI	OG0041594	NC_089035.1.g3540
CI	OG0041595	NC_089035.1.g3632
CI	OG0041596	NC_089035.1.g3765
CI	OG0041597	NC_089035.1.g3800
CI	OG0041598	NC_089035.1.g3818
CI	OG0041599	NC_089035.1.g3854
CI	OG0041600	NC_089035.1.g3932
CI	OG0041601	NC_089035.1.g3942
CI	OG0041602	NC_089035.1.g4015
CI	OG0041603	NC_089035.1.g4019
CI	OG0041604	NC_089035.1.g4022
CI	OG0041605	NC_089035.1.g4105
CI	OG0041606	NC_089035.1.g4243
CI	OG0041607	NC_089035.1.g4501
CI	OG0041608	NC_089035.1.g4642
CI	OG0041609	NC_089035.1.g4731
CI	OG0041610	NC_089035.1.g4993
CI	OG0041611	NC_089035.1.g5005
CI	OG0041612	NC_089035.1.g5011
CI	OG0041613	NC_089035.1.g5212
CI	OG0041614	NC_089036.1.g5554
CI	OG0041615	NC_089036.1.g5646
CI	OG0041616	NC_089036.1.g5724
CI	OG0041617	NC_089036.1.g6500
CI	OG0041618	NC_089036.1.g6540
CI	OG0041619	NC_089036.1.g6578
CI	OG0041620	NC_089036.1.g6760
CI	OG0041621	NC_089036.1.g6871
CI	OG0041622	NC_089036.1.g7003
CI	OG0041623	NC_089036.1.g7055
CI	OG0041624	NC_089036.1.g7131
CI	OG0041625	NC_089036.1.g7587
CI	OG0041626	NC_089036.1.g7672
CI	OG0041627	NC_089036.1.g7834
CI	OG0041628	NC_089036.1.g7967
CI	OG0041629	NC_089036.1.g7968
CI	OG0041630	NC_089036.1.g7976
CI	OG0041631	NC_089036.1.g7992
CI	OG0041632	NC_089036.1.g8424
CI	OG0041633	NC_089036.1.g8806
CI	OG0041634	NC_089036.1.g8816
CI	OG0041635	NC_089036.1.g8842
CI	OG0041636	NC_089036.1.g8981
CI	OG0041637	NC_089036.1.g9306
CI	OG0041638	NC_089036.1.g9325
CI	OG0041639	NC_089037.1.g9474
CI	OG0041640	NC_089037.1.g9658
CI	OG0041641	NC_089037.1.g9958
CI	OG0041642	NC_089037.1.g10526
CI	OG0041643	NC_089037.1.g10792
CI	OG0041644	NC_089037.1.g10804
CI	OG0041645	NC_089037.1.g11355
CI	OG0041646	NC_089037.1.g11398
CI	OG0041647	NC_089037.1.g11405
CI	OG0041648	NC_089037.1.g11427
CI	OG0041649	NC_089037.1.g11456
CI	OG0041650	NC_089037.1.g11480
CI	OG0041651	NC_089037.1.g11484
CI	OG0041652	NC_089037.1.g11509
CI	OG0041653	NC_089037.1.g11522
CI	OG0041654	NC_089037.1.g11579
CI	OG0041655	NC_089037.1.g11592
CI	OG0041656	NC_089037.1.g11594
CI	OG0041657	NC_089037.1.g11707
CI	OG0041658	NC_089037.1.g11822
CI	OG0041659	NC_089037.1.g12219
CI	OG0041660	NC_089037.1.g12242
CI	OG0041661	NC_089037.1.g12349
CI	OG0041662	NC_089037.1.g12600
CI	OG0041663	NC_089037.1.g12621
CI	OG0041664	NC_089037.1.g13093
CI	OG0041665	NC_089037.1.g13203
CI	OG0041666	NC_089037.1.g13523
CI	OG0041667	NC_089037.1.g13652
CI	OG0041668	NC_089038.1.g14101
CI	OG0041669	NC_089038.1.g14193
CI	OG0041670	NC_089038.1.g14215
CI	OG0041671	NC_089038.1.g14235
CI	OG0041672	NC_089038.1.g14412
CI	OG0041673	NC_089038.1.g14461
CI	OG0041674	NC_089038.1.g14498
CI	OG0041675	NC_089038.1.g14546
CI	OG0041676	NC_089038.1.g14547
CI	OG0041677	NC_089038.1.g14579
CI	OG0041678	NC_089038.1.g14627
CI	OG0041679	NC_089038.1.g14662
CI	OG0041680	NC_089038.1.g14679
CI	OG0041681	NC_089038.1.g14693
CI	OG0041682	NC_089038.1.g14697
CI	OG0041683	NC_089038.1.g14715
CI	OG0041684	NC_089038.1.g14729
CI	OG0041685	NC_089038.1.g14800
CI	OG0041686	NC_089038.1.g14864
CI	OG0041687	NC_089038.1.g14877
CI	OG0041688	NC_089038.1.g14896
CI	OG0041689	NC_089038.1.g14941
CI	OG0041690	NC_089038.1.g14942
CI	OG0041691	NC_089038.1.g15309
CI	OG0041692	NC_089038.1.g15451
CI	OG0041693	NC_089038.1.g15452
CI	OG0041694	NC_089038.1.g15578
CI	OG0041695	NC_089038.1.g15818
CI	OG0041696	NC_089038.1.g15847
CI	OG0041697	NC_089038.1.g15867
CI	OG0041698	NC_089038.1.g15996
CI	OG0041699	NC_089038.1.g16127
CI	OG0041700	NC_089038.1.g16201
CI	OG0041701	NC_089038.1.g16457
CI	OG0041702	NC_089038.1.g16499
CI	OG0041703	NC_089038.1.g16617
CI	OG0041704	NC_089038.1.g16685
CI	OG0041705	NC_089038.1.g16915
CI	OG0041706	NC_089038.1.g16935
CI	OG0041707	NC_089038.1.g17027
CI	OG0041708	NC_089038.1.g17065
CI	OG0041709	NC_089039.1.g17561
CI	OG0041710	NC_089039.1.g17576
CI	OG0041711	NC_089039.1.g17659
CI	OG0041712	NC_089039.1.g17895
CI	OG0041713	NC_089039.1.g18090
CI	OG0041714	NC_089039.1.g18095
CI	OG0041715	NC_089039.1.g18241
CI	OG0041716	NC_089039.1.g18340
CI	OG0041717	NC_089039.1.g18442
CI	OG0041718	NC_089039.1.g18596
CI	OG0041719	NC_089039.1.g18790
CI	OG0041720	NC_089039.1.g18865
CI	OG0041721	NC_089039.1.g18885
CI	OG0041722	NC_089039.1.g18887
CI	OG0041723	NC_089039.1.g19095
CI	OG0041724	NC_089039.1.g19133
CI	OG0041725	NC_089039.1.g19160
CI	OG0041726	NC_089039.1.g19201
CI	OG0041727	NC_089039.1.g19202
CI	OG0041728	NC_089039.1.g19358
CI	OG0041729	NC_089039.1.g19410
CI	OG0041730	NC_089039.1.g19461
CI	OG0041731	NC_089039.1.g19488
CI	OG0041732	NC_089039.1.g19548
CI	OG0041733	NC_089039.1.g19780
CI	OG0041734	NC_089039.1.g19894
CI	OG0041735	NC_089039.1.g19898
CI	OG0041736	NC_089039.1.g20285
CI	OG0041737	NC_089040.1.g20735
CI	OG0041738	NC_089040.1.g21171
CI	OG0041739	NC_089040.1.g21311
CI	OG0041740	NC_089040.1.g21359
CI	OG0041741	NC_089040.1.g21362
CI	OG0041742	NC_089040.1.g21400
CI	OG0041743	NC_089040.1.g21585
CI	OG0041744	NC_089040.1.g21662
CI	OG0041745	NC_089040.1.g21764
CI	OG0041746	NC_089040.1.g21769
CI	OG0041747	NC_089040.1.g21816
CI	OG0041748	NC_089040.1.g21838
CI	OG0041749	NC_089040.1.g22088
CI	OG0041750	NC_089040.1.g22193
CI	OG0041751	NC_089040.1.g22203
CI	OG0041752	NC_089040.1.g22238
CI	OG0041753	NC_089040.1.g22242
CI	OG0041754	NC_089040.1.g22267
CI	OG0041755	NC_089040.1.g22379
CI	OG0041756	NC_089040.1.g22636
CI	OG0041757	NC_089040.1.g22752
CI	OG0041758	NC_089040.1.g22760
CI	OG0041759	NC_089040.1.g22773
CI	OG0041760	NC_089040.1.g22898
CI	OG0041761	NC_089040.1.g22914
CI	OG0041762	NC_089040.1.g22937
CI	OG0041763	NC_089040.1.g23236
CI	OG0041764	NC_089040.1.g23246
CI	OG0041765	NC_089040.1.g23268
CI	OG0041766	NC_089040.1.g23630
CI	OG0041767	NC_089041.1.g24089
CI	OG0041768	NC_089041.1.g24241
CI	OG0041769	NC_089041.1.g24813
CI	OG0041770	NC_089041.1.g25043
CI	OG0041771	NC_089041.1.g25063
CI	OG0041772	NC_089041.1.g25201
CI	OG0041773	NC_089041.1.g25282
CI	OG0041774	NC_089041.1.g25324
CI	OG0041775	NC_089041.1.g25361
CI	OG0041776	NC_089041.1.g25437
CI	OG0041777	NC_089041.1.g25467
CI	OG0041778	NC_089041.1.g25495
CI	OG0041779	NC_089041.1.g25703
CI	OG0041780	NC_089041.1.g25707
CI	OG0041781	NC_089041.1.g25747
CI	OG0041782	NC_089041.1.g25819
CI	OG0041783	NC_089041.1.g25944
CI	OG0041784	NC_089041.1.g25966
CI	OG0041785	NC_089041.1.g25999
CI	OG0041786	NC_089041.1.g26001
CI	OG0041787	NC_089041.1.g26092
CI	OG0041788	NC_089041.1.g26297
CI	OG0041789	NC_089041.1.g26676
CI	OG0041790	NC_089042.1.g27118
CI	OG0041791	NC_089042.1.g27505
CI	OG0041792	NC_089042.1.g27516
CI	OG0041793	NC_089042.1.g27638
CI	OG0041794	NC_089042.1.g27639
CI	OG0041795	NC_089042.1.g27998
CI	OG0041796	NC_089042.1.g28008
CI	OG0041797	NC_089042.1.g28071
CI	OG0041798	NC_089042.1.g28217
CI	OG0041799	NC_089042.1.g28305
CI	OG0041800	NC_089042.1.g28317
CI	OG0041801	NC_089042.1.g28442
CI	OG0041802	NC_089042.1.g28458
CI	OG0041803	NC_089042.1.g28745
CI	OG0041804	NC_089042.1.g29168
CI	OG0041805	NC_089042.1.g29336
CI	OG0041806	NC_089042.1.g29340
CI	OG0041807	NC_089042.1.g29414
CI	OG0041808	NC_089043.1.g29829
CI	OG0041809	NC_089043.1.g29876
CI	OG0041810	NC_089043.1.g30003
CI	OG0041811	NC_089043.1.g30056
CI	OG0041812	NC_089043.1.g30104
CI	OG0041813	NC_089043.1.g30125
CI	OG0041814	NC_089043.1.g30130
CI	OG0041815	NC_089043.1.g30220
CI	OG0041816	NC_089043.1.g30288
CI	OG0041817	NC_089043.1.g30429
CI	OG0041818	NC_089043.1.g30464
CI	OG0041819	NC_089043.1.g30487
CI	OG0041820	NC_089043.1.g30501
CI	OG0041821	NC_089043.1.g30726
CI	OG0041822	NC_089043.1.g30810
CI	OG0041823	NC_089043.1.g30999
CI	OG0041824	NC_089043.1.g31217
CI	OG0041825	NC_089043.1.g31230
CI	OG0041826	NC_089043.1.g31303
CI	OG0041827	NC_089043.1.g31923
CI	OG0041828	NC_089043.1.g31972
CI	OG0041829	NC_089043.1.g31978
CI	OG0041830	NC_089044.1.g32121
CI	OG0041831	NC_089044.1.g32142
CI	OG0041832	NC_089044.1.g32143
CI	OG0041833	NC_089044.1.g32153
CI	OG0041834	NC_089044.1.g32164
CI	OG0041835	NC_089044.1.g32196
CI	OG0041836	NC_089044.1.g32304
CI	OG0041837	NC_089044.1.g32320
CI	OG0041838	NC_089044.1.g32328
CI	OG0041839	NC_089044.1.g32385
CI	OG0041840	NC_089044.1.g32643
CI	OG0041841	NC_089044.1.g32656
CI	OG0041842	NC_089044.1.g32663
CI	OG0041843	NC_089044.1.g32700
CI	OG0041844	NC_089044.1.g32820
CI	OG0041845	NC_089044.1.g32848
CI	OG0041846	NC_089044.1.g32976
CI	OG0041847	NC_089044.1.g33076
CI	OG0041848	NC_089044.1.g33216
CI	OG0041849	NC_089044.1.g33869
CI	OG0041850	NC_089044.1.g34080
CI	OG0041851	NC_089044.1.g34128
CI	OG0041852	NC_089045.1.g34634
CI	OG0041853	NC_089045.1.g34668
CI	OG0041854	NC_089045.1.g34722
CI	OG0041855	NC_089045.1.g35065
CI	OG0041856	NC_089045.1.g35084
CI	OG0041857	NC_089045.1.g35320
CI	OG0041858	NC_089045.1.g35356
CI	OG0041859	NC_089045.1.g35372
CI	OG0041860	NC_089045.1.g35446
CI	OG0041861	NC_089045.1.g35537
CI	OG0041862	NC_089045.1.g35568
CI	OG0041863	NC_089045.1.g35573
CI	OG0041864	NC_089045.1.g35591
CI	OG0041865	NC_089045.1.g35664
CI	OG0041866	NC_089045.1.g35847
CI	OG0041867	NC_089045.1.g36005
CI	OG0041868	NC_089045.1.g36180
CI	OG0041869	NC_089045.1.g36333
CI	OG0041870	NC_089045.1.g36400
